App Id,Category
com.asus.mobilemanager,"Error or Undefined"
com.moonvideo.android.resso,"Error or Undefined"
com.motorola.slpc,"Error or Undefined"
mobi.gameguru.racingfever,"Error or Undefined"
air.com.turner.boomerangmakeandrace,"Error or Undefined"
com.htc.zero,"Error or Undefined"
com.askfm,"Error or Undefined"
videoplayer.videodownloader.hdvideoplayer,"Error or Undefined"
com.gameloft.android.ANMP.GloftIAHM,"Error or Undefined"
com.fortune.sim.game.cash,"Error or Undefined"
com.appsinnova.android.keepclean,"Error or Undefined"
mobi.wifi.toolbox,"Error or Undefined"
com.azurgames.BattleGroundRoyale,"Error or Undefined"
com.htc.android.worldclock,"Error or Undefined"
com.htc.sense.ime,"Error or Undefined"
com.sonymobile.xperiaweather,"Error or Undefined"
com.ea.gp.simsmobile,"Error or Undefined"
com.motorola.faceunlock,"Error or Undefined"
com.gamecircus.PrizeClaw,"Error or Undefined"
br.gov.caixa.auxilio,"Error or Undefined"
net.zhuoweizhang.mcpelauncher,"Error or Undefined"
bestSoftRocket.freeMp3Downloads,"Error or Undefined"
io.mrarm.mctoolbox,"Error or Undefined"
com.tgg.kidscooking,"Error or Undefined"
com.naver.vapp,"Error or Undefined"
com.asus.collage,"Error or Undefined"
com.game.JewelsStar,"Error or Undefined"
co.vine.android,"Error or Undefined"
com.oovoo,"Error or Undefined"
com.grillgames.guitarrockhero,"Error or Undefined"
phone.cleaner.speed.booster.cache.clean.android.master,"Error or Undefined"
com.amazon.aa,"Error or Undefined"
com.virus.hunter,"Error or Undefined"
com.magjg.roundhit,"Error or Undefined"
com.rubycell.pianisthd,"Error or Undefined"
com.lomotif.android,"Error or Undefined"
com.htc.Weather,"Error or Undefined"
com.powerd.cleaner,"Error or Undefined"
com.zentertain.videoflip,"Error or Undefined"
com.scoompa.facechanger,"Error or Undefined"
com.racergame.cityracing3d,"Error or Undefined"
com.asiainno.uplive,"Error or Undefined"
com.onegogo.explorer,"Error or Undefined"
com.dhqsolutions.enjoyphoto,"Error or Undefined"
com.jiubang.go.music,"Error or Undefined"
com.tct.calculator,"Error or Undefined"
com.htc.cs.identity,"Error or Undefined"
com.sonymobile.xperiatransfermobile,"Error or Undefined"
com.root.clean.boost.explorer.filemanager,"Error or Undefined"
com.mambet.tv,"Error or Undefined"
ru.mail,"Error or Undefined"
com.glu.deerhunt16,"Error or Undefined"
messenger.chat.social.messenger,"Error or Undefined"
com.sonymobile.getmore,"Error or Undefined"
com.glu.dino,"Error or Undefined"
com.htc.filemanager,"Error or Undefined"
com.lenovo.FileBrowser2,"Error or Undefined"
com.nono.android,"Error or Undefined"
com.att.android.attsmartwifi,"Error or Undefined"
com.omgpop.dstfree,"Error or Undefined"
com.ScnStudios.RealCityCarDriver3D,"Error or Undefined"
com.detector.lie.game.prank,"Error or Undefined"
com.famousbluemedia.yokee,"Error or Undefined"
fishnoodle.koipond_free,"Error or Undefined"
com.sonymobile.getmore.client,"Error or Undefined"
com.secretexit.turbodismount,"Error or Undefined"
com.opalsapps.photoslideshowwithmusic,"Error or Undefined"
com.djit.apps.stream,"Error or Undefined"
com.rovio.BadPiggiesHD,"Error or Undefined"
com.midasplayer.apps.papapearsaga,"Error or Undefined"
com.htc.sense.socialnetwork.facebook,"Error or Undefined"
com.amazon.windowshop,"Error or Undefined"
com.mobikwik_new,"Error or Undefined"
com.nekki.vector2,"Error or Undefined"
com.indigokids.mim,"Error or Undefined"
