App Id,Category
an.ArabTranslate,Books & Reference
com.kavrakids.Animal_Jigsaw_Puzzle,Puzzle
by.androld.contactsvcf,Communication
com.moviestarplanet.msp2,Role Playing
com.sontung.screenmirroring,Productivity
com.wedo1.DeathShooter4,Action
com.vaibhavkokare.thirddimension,Education
runningforweightloss.runningapp.runningtracker,Health & Fitness
com.fotofokusstudio.happybirthdayinstadp,Photography
com.extremedevelopers.futuretanks,Action
com.lazymanstudios.mypptxpresentation,Tools
com.xidea.Puzzle.Animal,Puzzle
psyberia.alpinequest.free,Travel & Local
com.yasinseyhan.duavesureler,Lifestyle
aib.ibank.android,Finance
com.gyokovsolutions.gnettracklite,Tools
com.codeblenders.horoscope.free,Lifestyle
com.feelingtouch.bn,Role Playing
org.odk.collect.android,Productivity
business.card.maker.scopic,Business
com.com.OppanaGames.Cars.C63.M5,Auto & Vehicles
fr.icdc.sl6.app,Business
com.queensgame.spider,Card
russh.toddler.cars,Casual
net.beautysalongames.android_myhighschoollifestory,Casual
com.doit.fungames.bike.highway.traffic.rider,Racing
com.wittygames.teenpatti,Casino
com.classic.wood.block.puzzle.games,Puzzle
com.resetgame.vegaspool,Sports
games.spearmint.dicecraft,Puzzle
com.varravgames.findthedoodle,Puzzle
com.gamecrush.royalindiangirlweddingarrangemarriagegame,Casual
com.nexgen.airportcontrol,Casual
com.zps.br,Card
com.atistudios.italk.ru,Education
com.mobilityware.CrownSolitaire,Card
com.potatofrontier.shimejifun,Personalization
com.wordgame.puzzle.block.crush.de,Word
com.rayg.cartoon,Personalization
com.lily.talking.puppy,Casual
com.monkeyibrow.worldcupsc,Sports
cdff.mobileapp,Dating
com.deepakkumar.PunjabEducare,Education
se.viento.pinchos,Lifestyle
com.movingames.safari2androidfree,Action
com.savagevpn.android,Tools
com.v2r.waterworld.google,Casual
tk.alessio.bluebatt,Tools
com.dreamgirl.tabla,Music & Audio
cyberware.receitasliquidificador,Food & Drink
py.com.bancard.billeterabancard,Finance
com.lonewolfgames.losttreasure,Adventure
com.laboutiqueofficielle.app,Shopping
com.apofiss.mychu2,Casual
com.miso,Lifestyle
ro.startaxi.android.client,Travel & Local
com.ventismedia.android.mediamonkey,Music & Audio
com.appburst.cctvcamerapros,Shopping
